Temperature,Humidity,Occupancy,AC_Hours,Appliance_Hours,Day_Type,Electricity_Consumption
39.32,48.92,2,5.19,16.86,Weekday,184.35
44.62,25.33,6,1.78,11.61,Weekday,160.68
19.51,35.81,6,7.08,1.59,Weekend,138.14
32.82,37.2,3,4.05,9.77,Weekday,116.23
26.43,55.18,7,14.55,9.79,Weekday,221.65
44.1,40.14,3,1.63,11.33,Weekend,137.65
40.26,27.57,3,0.79,13.75,Weekend,124.4
40.15,32.56,1,0.09,1.37,Weekday,94.22
29.06,31.05,6,5.25,10.54,Weekday,157.38
27.44,92.98,6,10.57,12.18,Weekend,215.99
23.2,76.95,6,11.69,7.52,Weekend,193.79
16.69,92.58,5,7.25,13.7,Weekday,144.59
40.94,52.98,3,10.95,5.34,Weekday,173.38
39.39,40.88,4,5.76,7.03,Weekday,150.96
44.99,79.87,2,10.68,19.29,Weekday,200.79
44.9,44.47,7,0.65,7.61,Weekday,173.3
31.66,42.45,4,6.25,7.58,Weekday,154.89
38.07,37.44,7,12.65,12.32,Weekday,213.35
43.34,29.73,1,12.85,19.45,Weekend,197.88
40.49,39.23,1,11.46,19.68,Weekday,185.38
22.42,46.65,7,3.27,12.01,Weekday,146.2
28.52,70.55,6,3.96,1.02,Weekend,142.12
18.87,24.69,4,15.94,18.11,Weekday,179.65
43.62,35.79,6,1.65,11.83,Weekday,171.73
33.19,80.68,5,2.89,7.95,Weekend,154.75
21.86,31.02,1,2.08,16.75,Weekday,106.29
35.15,45.7,1,5.24,8.6,Weekend,127.76
33.54,84.85,4,3.36,1.65,Weekday,141.76
25.74,31.62,1,7.96,16.6,Weekday,131.29
18.41,26.21,5,7.62,11.37,Weekend,150.13
35.15,56.34,5,14.42,7.42,Weekday,194.62
30.61,42.68,5,0.56,5.77,Weekend,135.17
38.17,62.26,2,5.12,12.28,Weekday,139.21
30.6,80.29,5,9.55,4.95,Weekday,172.98
40.57,30.29,5,9.68,7.15,Weekend,181.85
31.56,63.55,2,7.68,13.09,Weekday,154.88
31.83,57.91,6,13.05,17.75,Weekday,210.95
41.3,30.81,3,1,11.12,Weekday,135.02
27.1,66.8,1,13.05,15.42,Weekday,160.6
19.02,40.52,5,7.92,15.5,Weekend,159.21
15.86,56.59,1,2.14,13.62,Weekend,95.48
37.65,26.17,4,14.17,5.67,Weekday,186.51
33.61,54.47,1,10.39,17.47,Weekday,170.54
36.12,42.98,7,2.62,9.29,Weekday,181.15
21.39,81.68,6,0.54,1.84,Weekday,113.39
19.09,24.27,2,2.26,5.65,Weekend,84.17
15.44,51.4,1,9.74,15.55,Weekday,154.71
25.52,54.38,1,2.87,2.31,Weekday,86.46
32.7,74.38,1,3.61,3.8,Weekend,126.41
26.77,63.07,3,0.4,14.19,Weekday,128.74
28.12,70.04,3,11.57,17.96,Weekday,205.88
42.12,78.28,4,12.97,13.04,Weekday,206.9
25.45,84.67,2,12.75,5.22,Weekend,148.71
30.42,43.54,1,2.04,2.01,Weekday,80.49
38.51,60.35,1,14.45,12.69,Weekday,189.75
26.9,83.01,1,10.76,1.9,Weekend,130.87
33.66,94.21,1,14.36,12.64,Weekend,177.22
40.87,86.71,3,7.15,5.29,Weekend,165.01
43.49,47.86,6,6.99,18.19,Weekday,215.06
19.41,34.64,6,12.55,10.03,Weekday,164.65
42.8,56.7,4,1.49,5.25,Weekday,153.46
29.76,75.62,7,8.33,17.21,Weekday,198.62
22.75,56.94,5,13.38,5.83,Weekday,171.18
28.77,56.24,2,13.28,6.83,Weekday,156.33
44.4,82.87,6,15.3,16.85,Weekday,260.2
29.78,47.11,7,11.17,6.87,Weekday,191.43
24.86,84.48,1,3.32,8.79,Weekend,130.08
34,50.51,6,0.32,7.61,Weekday,148.07
22.2,44.62,4,7.67,3.21,Weekday,123.57
17.28,54.05,5,8.22,1.74,Weekday,133.03
18.87,77.18,6,3.84,14.77,Weekday,160.9
18.84,29.45,4,2,13.26,Weekday,129.25
19.56,34.73,3,9.38,6.36,Weekday,124.58
19.16,91.36,5,12.23,6.62,Weekend,175.82
34.23,33.16,4,15.89,18.96,Weekend,232.26
20.46,62.58,7,12.13,19.77,Weekday,193.69
25.37,63.45,6,12.7,10,Weekend,195.19
41.9,56.72,3,9.86,16.25,Weekday,202.13
29.22,68.36,7,15.77,15,Weekend,246.46
35.03,37.24,4,10.24,6.65,Weekday,149.25
20.17,61.45,4,13.76,2.11,Weekday,142.62
20.77,47.91,7,15.13,3.71,Weekend,169.07
16.23,69.63,6,14.88,16.93,Weekday,209.27
20.07,30.59,5,6.1,14.89,Weekday,147.16
23.36,62.82,3,1.26,13.62,Weekend,136.87
20.31,33.9,1,2.75,3.48,Weekend,80
17.66,40.9,2,0.95,13.16,Weekday,111.2
18.62,36.4,5,1.69,15.67,Weekday,118.96
28.82,33.71,3,2.95,17.35,Weekend,139.53
21.19,81.93,7,5.46,1.25,Weekend,154.34
25.93,41.43,4,8.7,14.01,Weekday,155.34
30.1,89.53,7,11.39,1.36,Weekend,199.62
35.71,92.74,3,3.37,14.43,Weekend,167.15
16.18,62.84,7,10.76,13.08,Weekday,179.82
38.98,30.73,7,11.27,3.82,Weekend,198.49
33.84,48.09,2,8.94,15.56,Weekday,171.42
17.45,79.83,6,14.46,2.3,Weekday,170.74
41.21,47.55,2,1.78,16.7,Weekday,140.22
42.63,26.53,1,2.83,5.98,Weekday,119.12
16.83,61.76,1,6.86,14.09,Weekend,118.61
23.31,83.38,2,2.03,18.55,Weekday,124.91
39.19,79.69,5,9.06,7.46,Weekend,182.77
37.45,33.13,5,6.37,10.55,Weekend,181.7
20.54,70.46,7,4.55,9.8,Weekend,166.45
21.28,36.54,7,2.72,3.99,Weekday,137.55
26.11,36.37,4,5.37,12.22,Weekday,140.96
29.54,85.56,1,9.73,15.12,Weekday,172.49
33.55,38.73,4,9.21,18.42,Weekend,183.44
26.07,39.74,1,2.62,17.17,Weekday,101.12
28.88,20.05,2,2,10.69,Weekend,105.49
37.42,85.3,5,0.43,14.66,Weekend,170.48
16.1,79.44,7,0.2,16.21,Weekend,153.27
22.57,67.05,5,14.08,10.38,Weekday,197.17
36.4,76.27,2,0.72,3.19,Weekday,117.25
41.86,31.4,4,11.7,9.32,Weekend,212.97
30.35,54.37,4,13.95,17.01,Weekday,204.1
30.96,46.34,3,1.57,12.34,Weekend,133.64
18.22,27.03,7,6.98,14.76,Weekday,163.5
28.42,56.46,7,15.4,4.52,Weekend,211.36
30.98,89.06,7,13.35,19.32,Weekend,248.96
22.27,23,1,7.84,8.68,Weekday,99.49
23.08,41.86,4,12.2,13.42,Weekday,177.34
26.32,35.57,2,13.33,1.36,Weekend,162.08
15.6,37.86,4,5.57,3.42,Weekday,96.96
24.66,88.13,5,14.27,15.86,Weekday,209.63
21.34,55.11,1,7.53,19.39,Weekday,128.5
24.82,54.97,7,8.44,7.08,Weekday,176.77
18.59,77.04,6,16,1.71,Weekday,186.32
41.72,31.59,3,13.49,7.86,Weekend,179.53
32.81,56.54,1,5.79,1.33,Weekday,102.5
35.37,52.25,5,0.17,4.66,Weekday,113.68
38.68,64.77,7,10.02,15.3,Weekend,241.35
29.95,94.97,5,11.26,18.8,Weekday,207.75
17.61,77.71,5,10.41,2.66,Weekday,146.65
31.11,49.84,7,15.49,11.6,Weekend,224.23
32.61,82.07,5,13.81,5.82,Weekend,211.16
37.36,32.8,2,7.18,3.64,Weekday,138.71
27.95,22.28,3,1.01,5.16,Weekend,106.73
18.83,35.33,6,7.62,11.98,Weekend,151.62
23.51,45.53,5,11.03,2.24,Weekday,155.98
25.89,58.29,5,9.72,9.25,Weekday,175.63
34.38,66.13,4,8.61,3.57,Weekend,170.53
32.12,88.3,3,7.5,6.18,Weekday,145.35
25.68,58.24,1,4.7,4.62,Weekday,93.99
44.6,57.6,3,4.44,17.78,Weekend,199.52
33.17,23.77,3,8,14.45,Weekday,174.21
22.12,22.62,7,2.57,17.5,Weekday,152.1
18.05,61.34,7,5.45,8.29,Weekday,149.09
19.59,52.86,7,5.18,6.95,Weekday,147
22.38,82.94,6,9.39,8.23,Weekday,178.18
19.82,32.05,3,1.07,1.35,Weekday,65.53
20.6,21.87,6,13.27,14.77,Weekday,185.71
23.55,53.68,5,9,7.65,Weekday,147.56
20.2,37.81,7,10.73,6.95,Weekend,172.14
41.9,23.72,5,11.25,12.36,Weekend,198.3
17.41,74.34,7,4.66,9.29,Weekday,145.87
30.74,28.37,2,7.53,19.64,Weekend,163.35
27.31,65.62,6,15.3,7.77,Weekend,202.85
44.47,41.08,6,12.27,12.66,Weekend,219.64
18.36,33.01,1,15.51,6.92,Weekday,147.62
26.94,48.48,4,11.94,19.82,Weekday,183.69
44.08,80.11,3,2.81,9.46,Weekend,147.35
40.97,49.41,1,1.03,13.05,Weekday,134.46
39.51,76.31,6,9.24,3.41,Weekday,188.79
22.74,29.41,1,5.73,14.93,Weekday,116.12
20.13,77.96,2,4.41,6.11,Weekend,115.17
35.06,37.77,4,12.92,9.52,Weekday,195.67
42.88,70.8,6,5.87,17.78,Weekday,226.88
31.7,62.43,6,5.07,19.44,Weekday,191.42
32.15,89.69,3,13.6,9.07,Weekend,185.51
23.4,49.05,7,13.54,16.86,Weekday,212.03
38.08,24.96,4,5.7,2.01,Weekday,142.84
20.61,21.44,2,13.32,17.1,Weekday,165.13
24.71,82.01,5,13.61,12.96,Weekday,199.95
27.76,59.36,1,6.78,10.29,Weekday,124.45
30.23,78.14,3,1.06,17.91,Weekday,138.79
22.27,37.58,6,0.03,17.06,Weekday,136.08
18.45,45.88,5,8.37,6.64,Weekday,127.25
33.32,22.26,2,5.51,16.04,Weekend,150.86
23.66,92.11,4,15.95,2.89,Weekday,181.79
32.44,70.09,1,12.36,16.63,Weekday,181
19.63,89.99,3,12.18,13.83,Weekday,177.32
29.43,39.91,6,15.28,2.67,Weekday,199.21
30.98,65.86,6,14.2,13.98,Weekday,217.62
16.55,70.89,5,5.09,12.03,Weekday,141.06
25.1,43.82,5,2.66,12.3,Weekend,139.37
19.03,83.61,1,11.93,6.53,Weekday,139.82
16.9,91.04,4,6.05,6.06,Weekday,130.25
44.7,86.36,2,7.57,15.49,Weekday,199.75
24.67,75.43,7,10.09,5.88,Weekday,190.43
39.3,40.81,4,14.53,9.48,Weekday,203.73
22.64,41.12,4,6.71,14.2,Weekday,145.87
35.45,92.25,4,12.53,2.51,Weekday,183.22
37.81,20.77,7,4.29,12.3,Weekday,180.5
32.87,73.7,1,11.17,12.2,Weekday,170.23
29.15,72.97,7,0.03,14,Weekday,159.08
27.36,66.7,1,13.94,8.03,Weekday,159.97
25.47,94.26,7,0.49,9.53,Weekday,147.08
42.89,43.39,2,11.4,7.27,Weekday,177.13
39.92,45.5,4,0.74,16.36,Weekday,151.29
43.95,25.92,1,4.26,3.48,Weekday,127.89
18.73,53.21,7,7.96,19.3,Weekday,181.39
36.93,39.58,2,6.72,13.06,Weekday,166.7
43.15,45.75,7,3.07,17.85,Weekday,200.79
20.44,82.59,6,5.34,9.1,Weekday,155.52
16.99,90.16,2,11.64,7.31,Weekday,130.93
37.23,33.93,4,10.71,18.11,Weekday,208.49
32.23,47.94,3,1.15,2.88,Weekend,112.6
40.25,89.65,4,11.96,3.23,Weekend,211.17
19.19,24.64,3,0.85,6.69,Weekday,84.86
38.86,26.93,2,8.69,19.24,Weekend,178.72
21.05,32.21,6,4.16,13.03,Weekday,138.85
19.91,64.64,6,9.4,11.53,Weekday,176.05
19.93,31.29,1,4.18,14.4,Weekend,112.92
39.44,92.61,6,15.76,8.93,Weekend,231.66
34.96,53.5,5,4.96,15.4,Weekend,175.61
30.69,57.61,2,3.87,8.47,Weekday,130.37
25.76,38.5,1,4.46,16.7,Weekday,117.56
41.32,55.32,6,14.34,6.08,Weekday,210.35
26.77,69.64,2,10.18,6.27,Weekday,146.26
39.5,76.34,4,11.69,10.93,Weekday,203.34
28.17,76.54,6,14.69,9.18,Weekend,209.27
26.31,63.34,7,14.59,13.31,Weekday,231.44
28.88,87.83,3,11.82,7.92,Weekday,171.77
24.04,81.31,2,3.17,5.38,Weekday,99.63
37.43,76.78,1,13.49,9.93,Weekday,168.01
30.08,24.17,4,3.26,11.66,Weekday,141.9
21.97,20.52,5,11.89,3.71,Weekend,143.56
41.99,35.93,4,10.97,11.58,Weekday,193.43
26.52,69.76,6,12.14,7.07,Weekday,179.85
31.31,50.84,3,8.52,8.46,Weekend,156.74
42.19,50.18,4,10.22,6.31,Weekend,190.65
33.73,86.34,5,15.25,18.7,Weekend,230.46
18.51,87.17,7,1.62,13.98,Weekend,154.86
43.19,88.19,1,4.94,5.99,Weekday,142.23
33.83,43.54,2,9.78,13.26,Weekend,160.42
25.05,71.83,3,15.42,17.12,Weekday,194.71
19.18,40.37,5,1.53,8.63,Weekend,112.51
38.82,34.3,6,0.36,16.77,Weekday,173.67
33.6,33.85,6,0.89,3.93,Weekday,125.58
31,45.66,6,0.84,16.63,Weekday,161.48
41.82,52.25,3,14.53,11.27,Weekday,208.42
38.66,82.32,4,11.54,5.24,Weekday,177.72
19.55,28.99,3,10.83,8.74,Weekday,131.81
24.35,75.12,6,8.36,19.77,Weekend,199.61
22.45,59.86,7,12.51,15.89,Weekday,207.75
37.32,41.6,5,2.49,11.93,Weekday,155.21
16.01,56.96,2,6.27,3.19,Weekend,110.47
32.1,42.5,2,7.84,8.94,Weekday,142.31
37.87,64.71,3,1.77,6,Weekday,136.29
41.3,52.54,6,6.71,2.35,Weekday,168.74
25.26,32.33,1,5.06,11.3,Weekday,114.5
39.64,28.74,7,0.57,17.89,Weekend,198.39
18.32,61,3,2.19,13.84,Weekend,124.77
40.39,87.68,6,12.22,5.74,Weekend,228.48
18.82,45.8,4,0.29,11.9,Weekday,104.77
26.92,74.98,2,14.95,18.92,Weekday,203.23
38.92,69.4,2,1.38,14.74,Weekday,153.61
19.5,89.87,7,12.79,14.1,Weekday,208.58
21.88,81.57,2,14.38,19.4,Weekday,186.62
36.67,62.5,1,15.06,16.18,Weekday,184.14
36.6,69.28,6,13.88,3.6,Weekday,204.78
34.23,87.38,6,4.6,7.61,Weekday,177.79
35.82,49.96,7,5.33,19.34,Weekday,195.87
31.28,44.51,6,6.82,10.3,Weekend,165.88
22.55,20.81,7,2.23,3.12,Weekday,120.55
25.37,81.99,6,0.36,9.71,Weekend,148.08
20.45,80.07,1,13.91,14.24,Weekend,156.96
42.25,27.83,5,8.87,19.95,Weekday,208.53
32.5,63.26,3,9.74,7.15,Weekday,163.37
27.03,54.8,3,14.83,10.77,Weekday,190.09
28.86,28.9,6,10.64,17.71,Weekday,191.67
43.42,93.54,4,11.05,7.75,Weekday,221.7
19.6,36.1,2,12.59,3.08,Weekend,130.97
32.59,25.04,1,1.86,19.03,Weekend,119.8
30.18,64.61,4,5.76,10.28,Weekday,151.61
33.34,75.42,4,15.49,10.55,Weekend,203.67
15.54,22.43,6,14.77,12.8,Weekday,175.99
41.16,69.4,1,14.15,1.07,Weekend,177.66
42.96,59.92,3,7.23,18.69,Weekday,195.13
31.95,27.74,2,13.72,7.87,Weekday,151.83
35.9,32.94,3,0.77,8.54,Weekday,110.74
42.67,62.6,4,2.38,4.31,Weekend,156.12
36.22,42.23,2,6.62,8.18,Weekday,146.82
19.58,90.37,5,7.73,16.27,Weekday,169.05
32.29,81.41,4,4.22,16.2,Weekend,153.85
33.2,93.77,3,5.7,18.78,Weekend,174.61
27.72,39.48,3,2.6,8.66,Weekday,124.41
37.09,92.73,6,7.83,14.47,Weekend,208.72
43.03,52.34,3,12.7,10.64,Weekday,194.94
42.77,46.06,1,10.58,16.28,Weekday,186.65
28.53,23.78,4,1.72,14.54,Weekday,127.77
18.4,23.96,7,7.8,7.99,Weekday,160.17
44.55,71.9,7,11.16,7.4,Weekday,221.27
40.17,54.34,2,8.48,5.8,Weekday,148.62
18.74,36.99,3,6.27,11.95,Weekday,132.79
42.63,66.05,6,9.95,19.31,Weekend,237.19
41.1,38.96,6,15.5,4.8,Weekend,210.34
30.57,63.32,3,1.52,2.81,Weekday,114.8
32.74,46.94,1,6.24,3.27,Weekday,113.93
26.97,81.77,6,6.51,15.88,Weekday,176.12
16.64,81.55,7,9.23,7.65,Weekend,174.56
25.06,55.8,2,2.43,5.26,Weekday,99.11
39.09,46.31,4,2.83,7.7,Weekday,132.42
15.14,47.19,5,4.57,13.26,Weekday,122.65
25,80.43,1,15.29,11.39,Weekday,185.94
26.95,44.61,6,11.75,15.13,Weekday,196.67
31.12,35.68,4,10.59,7.44,Weekend,178.51
42.6,26.35,5,13.07,9.59,Weekday,206.96
25.39,55,3,2.04,2.94,Weekday,111.75
25.41,56.16,3,13.75,2.39,Weekday,158.16
37.13,83.07,2,9.52,9.78,Weekend,169.53
28.57,36.59,5,5.37,6.73,Weekday,146.2
21.74,48.57,3,13.05,12.64,Weekday,156.64
28.57,80.63,3,12.84,1.82,Weekday,168.84
19.23,81.77,7,13.53,3.31,Weekend,190.06
20.29,48.85,6,1.85,17.44,Weekday,146.01
29.95,54.43,2,15.51,11.76,Weekday,178.4
27.57,42.75,4,15.35,14.53,Weekend,206.89
42.45,89.94,3,5.72,17,Weekend,194.26
25.87,28.9,7,1.05,9.81,Weekday,122.29
32.42,90.03,1,2.67,15.46,Weekend,130.69
33.97,71.29,1,15.89,10.97,Weekday,175.99
15.39,59.87,4,9.01,5.23,Weekday,135.99
34.91,22.45,5,5.71,7.42,Weekday,158.44
20.34,55.67,2,4.61,10.32,Weekday,115.36
43.83,50.58,7,4.11,7.02,Weekday,186.54
19.46,32.09,6,10.63,7.38,Weekday,168.27
27.44,69.23,7,6.71,7.41,Weekend,180.4
17.56,92.84,1,15.45,3.33,Weekend,154.41
44.91,62.16,1,10.94,2.61,Weekday,162.37
30.07,73.61,4,12.67,1.88,Weekday,165.68
32.86,25.13,5,4.68,3.11,Weekday,132.36
17.01,51.33,5,1.27,7.53,Weekday,124.69
37.5,28.73,4,7.81,12.28,Weekday,161.57
21.3,65.96,7,5.03,4.57,Weekday,149.35
41.94,90.39,1,3.23,17.87,Weekday,152.36
21.15,69.63,7,15.24,16.36,Weekday,214.66
20.72,25.76,7,7.1,10.89,Weekend,168.14
16.1,46.6,2,2.8,14.76,Weekend,94.52
29.16,61.3,1,3.18,7.96,Weekday,117.93
31.95,50.24,5,4.49,1.7,Weekday,152.9
16.97,82.52,6,15.99,18.18,Weekday,218.18
38.27,81.1,7,4.29,3.43,Weekday,186.14
28.6,65.89,1,5.26,19.01,Weekday,146.73
30.73,48.01,7,10.55,11.87,Weekday,204.98
28.22,39.15,2,4.7,6.81,Weekday,118.31
27.02,27.94,3,3.45,10.41,Weekday,115.39
31.79,46.62,1,2.54,10.53,Weekday,109
19.66,50.99,4,5,1.44,Weekday,117.82
20.46,70.69,3,1.69,7.75,Weekday,106.38
40.85,69.36,7,0.3,15.06,Weekend,188.68
43.38,25.26,4,12.87,10.69,Weekend,202.82
26.2,49.64,4,2.21,5.64,Weekday,118.84
23.12,33.63,4,12.42,7.37,Weekday,146.3
34.32,31.76,1,12.76,17.4,Weekend,178.55
27.26,82.05,5,8.61,10.99,Weekday,179.07
15.76,23.14,7,4.95,11.04,Weekend,132.66
19.68,51.44,3,2.32,19.27,Weekday,129.37
36.48,32.62,2,11.79,7.1,Weekend,157.93
34.77,85.95,5,9.62,10.11,Weekend,201.41
15.81,61.78,7,10.49,16.42,Weekday,203.59
21.66,37.35,1,0.14,15.42,Weekday,91.77
21.93,57.68,4,14.84,6.05,Weekday,160.25
35.16,74.86,2,1.06,3.87,Weekday,116.93
15.59,91.86,7,5.87,14.31,Weekday,173.32
18.12,36.53,3,6.44,5.9,Weekday,102.05
39,86.46,7,0.02,18.53,Weekday,179.25
20.36,90.07,5,7.95,3.46,Weekday,139.59
34.58,88.73,6,12.04,7.05,Weekend,211.19
22.15,67.66,5,13.17,2.04,Weekday,160.28
17.98,67.24,7,14.07,14.36,Weekday,212.08
22.3,50.24,2,7.8,17.93,Weekday,149.91
36.67,76.43,7,10.09,13.08,Weekday,219.93
40.67,59.85,7,1.27,18.82,Weekday,180.33
39.91,70.81,1,7.81,3.44,Weekend,153.83
26.92,52.13,3,2.48,2.67,Weekday,120.94
35.04,74.86,2,5.91,16.93,Weekday,172.29
21.15,81.84,7,5.27,17.25,Weekday,175.03
23.79,30.98,4,6.78,16.79,Weekday,150.47
41.89,82.47,3,9.15,16.18,Weekend,209.57
15.39,60.52,5,14.45,7.88,Weekday,179.3
17.57,83.35,2,6.31,5.13,Weekday,106.67
21.24,52.35,5,15.7,18.65,Weekday,201.87
15.8,48.43,7,12.14,6.83,Weekend,173.3
20.44,88.63,5,8.18,8.57,Weekday,158.02
32.49,38.84,5,10.3,14.29,Weekend,199.29
27.64,83.32,1,1.64,6.57,Weekday,106.67
41.78,56.3,5,13.51,16.56,Weekday,218.16
39.52,58.56,4,9.32,2.33,Weekday,162.51
25.25,43.14,4,15.78,16.03,Weekday,191.64
22.78,62.98,3,10.18,12.44,Weekday,139.36
26.39,44.39,7,13.35,11.89,Weekday,210.46
32.71,22.95,6,12.8,9.71,Weekday,193.76
23.04,40.4,5,5.53,6.26,Weekend,132.92
33.72,20.48,5,4.15,9.82,Weekday,154.36
27.28,93.38,2,6.89,9.55,Weekday,147.54
31.56,92.43,1,7.48,12.09,Weekday,142.49
28.08,49.64,6,3.84,6.35,Weekday,149.57
23.83,74.63,3,14.31,2.47,Weekday,170.13
43.45,45.94,6,8.68,3.76,Weekday,186.21
37.91,70.33,5,15.66,14.28,Weekday,230.67
19.2,80.41,2,12.96,1.43,Weekday,137.01
41.05,91.01,7,8.89,17.27,Weekday,225.47
29.62,50.02,1,15.15,14.19,Weekend,181.87
41.84,78.75,7,8.08,15.59,Weekday,218.46
39,39.94,3,14.19,16.88,Weekday,207.14
27.76,94.27,6,5.73,3.33,Weekend,165.69
15.67,21.93,3,6.06,16.63,Weekday,126.88
23.06,65.26,5,6.69,10.59,Weekday,159.03
31.25,69.46,3,8.75,17.82,Weekday,172.24
34,71.6,7,8.86,17.85,Weekend,224.3
22.74,29.03,2,7.94,1.46,Weekend,117.23
19.18,90.39,3,4.9,8.27,Weekend,121.65
40.05,33.59,4,14.84,11,Weekday,219.09
44.53,66.71,2,9.42,13.89,Weekday,181.32
30.77,36.7,6,6.52,6.44,Weekday,170.94
20.15,43.04,1,10.42,5.79,Weekday,109.17
23.17,60.98,1,12.29,8.24,Weekend,145.98
15.55,51.29,5,15.37,10.52,Weekday,174.15
42.43,32.02,5,7.99,19.07,Weekday,192.97
18.53,32.82,4,1.79,15.48,Weekend,127.92
32.3,51.36,6,7.05,9.16,Weekend,184.42
23.22,76.8,7,7.66,2.03,Weekday,164.75
31.63,87.35,1,14.35,4.2,Weekday,162.97
34.54,26.31,1,6.32,9.66,Weekday,122.14
39.89,49.48,1,15.25,16.46,Weekday,208.3
21.19,27.52,7,7.76,8.23,Weekday,157.15
15.33,21.24,1,15.58,11.23,Weekday,130.74
19.11,69.63,3,0.13,17.94,Weekend,126.06
42,65.18,6,14.38,18.36,Weekday,234.87
41.22,32.23,2,14.9,5.1,Weekday,178.98
32.92,37.54,2,15.38,1.83,Weekday,164.98
33.02,21.78,4,0.21,6.8,Weekday,112.43
34.95,82.62,3,2.75,14.22,Weekday,161.03
20.26,93.1,1,10.46,19.07,Weekend,172.93
42.43,30.16,1,0.41,2.46,Weekend,107.88
27.56,37.36,5,1.02,1.54,Weekday,122.94
26.49,85.13,5,3.54,17.8,Weekend,184.14
30.57,89.48,4,8.2,15.21,Weekday,189.25
16.41,51.47,1,8.73,19.85,Weekday,138.8
19.99,23.8,4,0.55,8.54,Weekday,94.32
37.14,22.95,3,2.73,8.9,Weekend,129.42
17.48,63.05,2,8,4.27,Weekday,118.15
33.09,49.47,1,9.5,3.2,Weekday,130.62
22.36,22.15,6,2.37,12,Weekend,128.86
26.68,63.74,7,6.38,7.92,Weekday,162.87
23.66,20.85,3,14.47,2.53,Weekday,138.16
25.67,79.05,1,15.98,17.85,Weekday,203.15
36.57,42.98,7,15.8,4.77,Weekday,223.08
23.91,23.02,6,14.11,15.22,Weekday,195.2
31.99,64.13,5,6.31,6.36,Weekday,162.55
29.28,49.83,4,10.99,16.45,Weekend,194.51
34.91,93.04,5,6.67,3.25,Weekday,160.94
43.1,60.81,2,10.38,15.37,Weekday,182.99
36.98,40.64,5,4.95,2.86,Weekday,155.74
21.45,73.21,1,9.7,9.49,Weekend,127.3
15.94,40.36,6,8.38,14.95,Weekend,164.24
22.87,87.82,5,0.39,4.29,Weekday,112.94
32.85,48.1,1,12.65,6.43,Weekday,154.4
16.54,61.24,2,0.19,17.43,Weekend,106.33
29.89,23.79,7,4.69,17.82,Weekend,186.52
32.91,51.96,6,0.09,1.85,Weekday,108.83
25.03,82.43,5,6.02,4.19,Weekday,155.06
38.13,80.42,4,1.01,3.23,Weekday,142.3
18.2,36.82,4,14.62,4.41,Weekday,159.38
17.25,36.96,6,6.65,19.43,Weekend,175
36.85,81.3,4,7.35,11.48,Weekday,183.56
29.86,89.78,5,5.6,9.89,Weekday,162.52
35.65,27.15,5,10.04,19.7,Weekday,204.36
28.04,53.75,6,12.55,11.58,Weekday,198.88
22.39,45.31,5,10.37,13.56,Weekday,177.41
39.57,85.3,7,11.97,7.32,Weekday,227.78
38.98,26.26,1,14.5,8.26,Weekday,170.2
35.84,35.83,2,13.82,12.29,Weekday,183.95
23.16,76.44,7,10.78,2.33,Weekday,178.45
32.71,23.85,7,3.43,5.86,Weekend,164.08
25.83,56.94,4,10.2,4.74,Weekend,170.8
17.75,53.16,1,8.1,1.3,Weekday,99.97
42.52,45.08,6,11.48,11.2,Weekend,223.55
19.1,49.59,4,13.33,11.66,Weekday,165.11
43.51,59.75,1,11.88,8.29,Weekday,173.21
28.38,32.1,5,13.54,6.11,Weekend,174.29
20.55,62.9,6,1.02,13.39,Weekday,112.32
31.26,80.41,6,0.51,3.56,Weekday,131.78
41.19,77.01,4,4.14,10.85,Weekend,175.35
36.97,31.54,5,14.41,15.59,Weekend,217.71
39.2,31.19,4,13.18,4.12,Weekday,183.94
34.76,40.11,3,10.92,15.31,Weekend,180.02
35.77,47.08,1,11.21,15.46,Weekday,164.88
40.48,50.63,3,11.63,2.14,Weekday,152.16
22.49,70.98,1,15.08,1.36,Weekday,144.4
29.68,24.25,2,13.32,19.5,Weekday,172.43
21.64,22.6,7,9.97,4.67,Weekday,151.16
44.63,49.39,6,10.65,16.62,Weekday,232.17
43.32,72.29,4,3.42,11.68,Weekday,165.68
16.18,34.51,2,10.52,6.02,Weekday,119.11
36.17,68.11,2,6.79,3.47,Weekday,130.09
42.76,39.49,6,2.45,10.44,Weekday,170.61
20.42,86.46,6,12.9,8.74,Weekend,188.1
32.04,87.18,1,8.16,14.28,Weekday,157.84
42.46,42.3,3,15.64,18.18,Weekday,235.59
16.02,37.25,5,4.51,16.3,Weekday,123.03
35.92,50.85,1,7.69,6.21,Weekend,152.57
23.92,38.04,5,7.17,17.7,Weekday,158.31
42.73,70.43,2,1.93,16.83,Weekday,166.73
44.13,81.95,5,6.82,18.65,Weekday,224.28
43.33,70.48,3,4.6,9.71,Weekday,168.65
29.23,81.83,1,2.57,15.6,Weekday,121.28
40.86,49.77,6,4.51,12.24,Weekday,185.91
40.34,31.72,3,3.73,6.9,Weekend,163.57
24.57,75.35,7,11.75,19.89,Weekday,219.55
39.87,47.04,3,0.49,1.73,Weekend,120.08
16.11,70.35,7,9.88,4.08,Weekend,162.97
32.89,40.3,1,12.17,17.96,Weekend,182.69
21.9,26.09,6,7.69,2.15,Weekend,138.89
18.62,94.44,3,14.91,17.85,Weekend,199.46
17.31,31.72,7,11.33,14.59,Weekday,177.4
